#,DateTime,Temperature_C,Event,mm
,6/5/2022 7:00,12.013,,
,6/5/2022 8:00,12.401,,
,6/5/2022 8:07,,40,0.254
,6/5/2022 8:31,,41,0.254
,6/5/2022 8:43,,42,0.254
,6/5/2022 9:00,11.041,,
,6/5/2022 9:02,,43,0.254
,6/5/2022 9:12,,44,0.254
,6/5/2022 9:33,,45,0.254
,6/5/2022 9:43,,46,0.254
,6/5/2022 10:00,10.651,,
,6/5/2022 10:02,,47,0.254
,6/5/2022 11:00,11.236,,
,6/5/2022 12:00,12.69,,
,6/5/2022 12:01,,48,0.254
,6/5/2022 13:00,12.11,,
,6/5/2022 13:02,,49,0.254
,6/5/2022 14:00,12.98,,
,6/5/2022 14:03,,50,0.254
,6/5/2022 14:06,,51,0.254
,6/5/2022 14:09,,52,0.254
,6/5/2022 14:14,,53,0.254
,6/5/2022 14:18,,54,0.254
,6/5/2022 14:19,,55,0.254
,6/5/2022 14:22,,56,0.254
,6/5/2022 14:26,,57,0.254
,6/5/2022 14:48,,58,0.254
,6/5/2022 15:00,12.883,,
,6/5/2022 16:00,13.461,,
,6/5/2022 17:00,15.664,,
,6/5/2022 18:00,12.11,,
,6/5/2022 19:00,10.161,,
,6/5/2022 20:00,8.779,,
,6/5/2022 20:10,,59,0.254
,6/5/2022 20:18,,60,0.254
,6/5/2022 21:00,7.782,,
,6/5/2022 22:00,6.674,,
,6/5/2022 22:10,,61,0.254
,6/5/2022 23:00,6.471,,
,6/6/2022 0:00,6.471,,
,6/6/2022 1:00,6.573,,
,6/6/2022 2:00,6.471,,
,6/6/2022 3:00,6.471,,
,6/6/2022 4:00,6.166,,
,6/6/2022 5:00,5.962,,
,6/6/2022 6:00,6.877,,
,6/6/2022 7:00,9.275,,
,6/6/2022 8:00,10.161,,
,6/6/2022 9:00,12.69,,
,6/6/2022 10:00,16.332,,
,6/6/2022 10:40,,62,0.254
,6/6/2022 11:00,15.378,,
,6/6/2022 11:25,,63,0.254
,6/6/2022 11:43,,64,0.254
,6/6/2022 12:00,14.9,,
,6/6/2022 12:03,,65,0.254
,6/6/2022 13:00,22.621,,
,6/6/2022 14:00,21.951,,
,6/6/2022 15:00,18.521,,
