"TOA5","Burn19","CR6","5590","CR6.Std.06.01","CPU:BURN1906.CR6","9724","Table3"
"TIMESTAMP","RECORD","RainEvent","Rain_mm_Tot"
"TS","RN","","mm"
"","","Smp","Tot"
"2022-05-30 09:37:50",7201,302,0.2
"2022-05-30 09:40:20",7202,302,0.2
"2022-05-30 09:43:20",7203,302,0.2
"2022-05-30 09:49:00",7204,302,0.2
"2022-05-30 09:49:40",7205,302,0.2
"2022-05-30 09:50:10",7206,302,0.2
"2022-05-30 09:50:50",7207,302,0.2
"2022-05-30 09:51:20",7208,302,0.2
"2022-05-30 09:52:00",7209,302,0.2
"2022-05-30 09:52:40",7210,302,0.2
"2022-05-30 09:53:20",7211,302,0.2
"2022-05-30 09:54:00",7212,302,0.2
"2022-05-30 09:54:40",7213,302,0.2
"2022-05-30 09:55:20",7214,302,0.2
"2022-05-30 09:56:00",7215,302,0.2
"2022-05-30 09:56:40",7216,302,0.2
"2022-05-30 09:57:30",7217,302,0.2
"2022-05-30 09:58:10",7218,302,0.2
"2022-05-30 09:59:00",7219,302,0.2
"2022-05-30 09:59:50",7220,302,0.2
"2022-05-30 10:00:40",7221,302,0.2
"2022-05-30 10:01:30",7222,302,0.2
"2022-05-30 10:02:30",7223,302,0.2
"2022-05-30 10:03:30",7224,302,0.2
"2022-05-30 10:04:30",7225,302,0.2
"2022-05-30 10:05:40",7226,302,0.2
"2022-05-30 10:06:50",7227,302,0.2
"2022-05-30 10:08:10",7228,302,0.2
"2022-05-30 10:09:50",7229,302,0.2
"2022-05-30 10:12:00",7230,302,0.2
"2022-05-30 10:14:40",7231,302,0.2
"2022-05-30 10:19:20",7232,302,0.2
"2022-05-30 10:24:10",7233,302,0.2
"2022-06-03 08:39:10",7234,302,0.2
"2022-06-03 09:06:30",7235,302,0.2
"2022-06-03 09:23:50",7236,302,0.2
"2022-06-03 09:33:00",7237,302,0.2
"2022-06-03 09:38:30",7238,302,0.2
"2022-06-03 09:45:50",7239,302,0.2
"2022-06-03 09:54:50",7240,302,0.2
"2022-06-03 10:19:50",7241,302,0.2
"2022-06-03 10:46:20",7242,302,0.2
"2022-06-03 10:55:30",7243,302,0.2
"2022-06-03 12:06:10",7244,302,0.2
"2022-06-03 17:14:50",7245,302,0.2
"2022-06-03 17:19:50",7246,302,0.2
"2022-06-03 17:32:10",7247,302,0.2
"2022-06-03 17:40:20",7248,302,0.2
"2022-06-03 17:48:30",7249,302,0.2
"2022-06-03 17:56:00",7250,302,0.2
"2022-06-03 18:06:20",7251,302,0.2
"2022-06-03 18:19:00",7252,302,0.2
"2022-06-03 19:57:50",7253,302,0.2
"2022-06-04 02:57:00",7254,302,0.2
"2022-06-04 03:13:50",7255,302,0.2
"2022-06-04 04:08:00",7256,302,0.2
"2022-06-04 04:49:00",7257,302,0.2
"2022-06-04 05:39:00",7258,302,0.2
"2022-06-04 06:15:00",7259,302,0.2
"2022-06-04 06:59:00",7260,302,0.2
"2022-06-04 07:32:50",7261,302,0.2
"2022-06-04 08:00:40",7262,302,0.2
"2022-06-04 08:44:00",7263,302,0.2
"2022-06-04 10:38:50",7264,302,0.2
"2022-06-04 17:24:20",7265,302,0.2
"2022-06-04 18:04:40",7266,302,0.2
"2022-06-04 18:45:30",7267,302,0.2
"2022-06-04 19:38:40",7268,302,0.2
"2022-06-04 21:11:10",7269,302,0.2
"2022-06-04 22:10:10",7270,302,0.2
"2022-06-05 05:56:20",7271,302,0.2
"2022-06-05 08:19:30",7272,302,0.2
"2022-06-05 08:35:30",7273,302,0.2
"2022-06-05 08:50:20",7274,302,0.2
"2022-06-05 09:07:40",7275,302,0.2
"2022-06-05 09:26:50",7276,302,0.2
"2022-06-05 09:40:30",7277,302,0.2
"2022-06-05 09:57:50",7278,302,0.2
"2022-06-05 11:05:30",7279,302,0.2
"2022-06-05 12:48:40",7280,302,0.2
"2022-06-05 13:21:40",7281,302,0.2
"2022-06-05 14:05:30",7282,302,0.2
"2022-06-05 14:08:00",7283,302,0.2
"2022-06-05 14:11:10",7284,302,0.2
"2022-06-05 14:16:10",7285,302,0.2
"2022-06-05 14:18:00",7286,302,0.2
"2022-06-05 14:19:30",7287,302,0.2
"2022-06-05 14:23:20",7288,302,0.2
"2022-06-05 14:35:10",7289,302,0.2
"2022-06-05 16:13:40",7290,302,0.2
"2022-06-05 20:14:00",7291,302,0.2
"2022-06-05 20:23:40",7292,302,0.2
"2022-06-06 04:56:40",7293,302,0.2
"2022-06-06 11:16:20",7294,302,0.2
"2022-06-06 11:35:10",7295,302,0.2
"2022-06-06 11:55:50",7296,302,0.2
"2022-06-08 05:11:40",7297,302,0.2
"2022-06-08 06:33:50",7298,302,0.2
"2022-06-08 16:58:30",7299,302,0.2
"2022-06-08 16:59:00",7300,302,0.2
"2022-06-08 16:59:40",7301,302,0.2
"2022-06-08 17:00:10",7302,302,0.2
"2022-06-08 17:00:30",7303,302,0.2
