"TOA5","Seed22","CR1000X","12231","CR1000X.Std.03.02","CPU:SEED22.CR1X","58640","RainEvent"
"TIMESTAMP","RECORD","Rain_TB_Tot"
"TS","RN","mm"
"","","Tot"
"2022-06-03 07:16:20",0,0.1
"2022-06-03 08:36:20",1,0.1
"2022-06-03 09:40:40",2,0.1
"2022-06-03 09:55:30",3,0.1
"2022-06-03 10:27:30",4,0.1
"2022-06-03 10:45:30",5,0.1
"2022-06-03 17:12:00",6,0.1
"2022-06-03 17:18:00",7,0.1
"2022-06-03 17:21:30",8,0.1
"2022-06-03 17:26:50",9,0.1
"2022-06-03 17:33:30",10,0.1
"2022-06-03 17:37:30",11,0.1
"2022-06-03 17:41:00",12,0.1
"2022-06-03 17:44:40",13,0.1
"2022-06-03 17:47:40",14,0.1
"2022-06-03 17:51:00",15,0.1
"2022-06-03 17:58:00",16,0.1
"2022-06-03 18:02:00",17,0.1
"2022-06-03 18:06:10",18,0.1
"2022-06-03 18:12:20",19,0.1
"2022-06-03 18:24:40",20,0.1
"2022-06-03 22:57:20",21,0.1
"2022-06-04 02:41:00",22,0.1
"2022-06-04 02:54:50",23,0.1
"2022-06-04 03:00:00",24,0.1
"2022-06-04 03:06:40",25,0.1
"2022-06-04 03:13:20",26,0.1
"2022-06-04 03:21:10",27,0.1
"2022-06-04 03:39:40",28,0.1
"2022-06-04 04:01:10",29,0.1
"2022-06-04 04:20:50",30,0.1
"2022-06-04 04:34:40",31,0.1
"2022-06-04 04:47:10",32,0.1
"2022-06-04 05:27:00",33,0.1
"2022-06-04 06:10:20",34,0.1
"2022-06-04 06:52:50",35,0.1
"2022-06-04 07:17:00",36,0.1
"2022-06-04 07:36:40",37,0.1
"2022-06-04 07:54:50",38,0.1
"2022-06-04 08:24:10",39,0.1
"2022-06-04 09:29:40",40,0.1
"2022-06-04 17:51:50",41,0.1
"2022-06-04 18:28:50",42,0.1
"2022-06-04 19:07:00",43,0.1
"2022-06-04 19:47:50",44,0.1
"2022-06-04 20:38:30",45,0.1
"2022-06-04 20:58:50",46,0.1
"2022-06-04 21:27:50",47,0.1
"2022-06-04 22:07:30",48,0.1
"2022-06-04 22:28:20",49,0.1
"2022-06-05 07:50:30",50,0.1
"2022-06-05 08:05:30",51,0.1
"2022-06-05 08:23:20",52,0.1
"2022-06-05 08:29:20",53,0.1
"2022-06-05 08:33:40",54,0.1
"2022-06-05 08:37:40",55,0.1
"2022-06-05 08:42:10",56,0.1
"2022-06-05 08:46:00",57,0.1
"2022-06-05 08:53:10",58,0.1
"2022-06-05 08:59:00",59,0.1
"2022-06-05 09:02:40",60,0.1
"2022-06-05 09:10:00",61,0.1
"2022-06-05 09:24:20",62,0.1
"2022-06-05 09:33:20",63,0.1
"2022-06-05 09:40:30",64,0.1
"2022-06-05 09:46:00",65,0.1
"2022-06-05 09:56:20",66,0.1
"2022-06-05 10:49:10",67,0.1
"2022-06-05 12:31:00",68,0.1
"2022-06-05 13:09:20",69,0.1
"2022-06-05 13:14:20",70,0.1
"2022-06-05 14:27:30",71,0.1
"2022-06-05 14:29:10",72,0.1
"2022-06-05 14:31:00",73,0.1
"2022-06-05 14:32:00",74,0.1
"2022-06-05 14:33:30",75,0.1
"2022-06-05 14:36:50",76,0.1
"2022-06-05 15:25:00",77,0.1
"2022-06-05 20:04:10",78,0.1
"2022-06-05 20:12:20",79,0.1
"2022-06-05 20:15:40",80,0.1
"2022-06-05 21:37:00",81,0.1
"2022-06-06 08:41:40",82,0.1
"2022-06-06 17:50:30",83,0.1
"2022-06-06 17:53:40",84,0.1
"2022-06-06 17:57:00",85,0.1
"2022-06-08 05:44:20",86,0.1
"2022-06-08 06:25:10",87,0.1
"2022-06-08 14:12:20",88,0.1
"2022-06-08 14:13:00",89,0.1
"2022-06-08 14:16:00",90,0.1
"2022-06-08 17:01:20",91,0.1
"2022-06-08 17:02:00",92,0.1
"2022-06-08 17:02:20",93,0.1
"2022-06-08 17:02:40",94,0.1
"2022-06-08 17:02:50",95,0.1
"2022-06-08 17:03:10",96,0.1
"2022-06-08 17:03:30",97,0.1
"2022-06-08 17:03:50",98,0.1
"2022-06-08 17:04:30",99,0.1
"2022-06-08 17:07:10",100,0.1
"2022-06-08 17:28:20",101,0.1
"2022-06-08 17:30:40",102,0.1
"2022-06-08 17:32:10",103,0.1
"2022-06-08 17:33:10",104,0.1
"2022-06-08 17:33:40",105,0.1
"2022-06-08 17:34:10",106,0.1
"2022-06-08 17:34:50",107,0.1
"2022-06-08 17:35:20",108,0.1
"2022-06-08 17:36:00",109,0.1
"2022-06-08 17:36:40",110,0.1
"2022-06-08 17:37:20",111,0.1
"2022-06-08 17:37:50",112,0.1
"2022-06-08 17:38:10",113,0.1
"2022-06-08 17:38:20",114,0.1
"2022-06-08 17:38:40",115,0.1
"2022-06-08 17:38:50",116,0.1
"2022-06-08 17:39:00",117,0.1
"2022-06-08 17:39:10",118,0.1
"2022-06-08 17:39:40",119,0.1
"2022-06-08 17:40:10",120,0.1
"2022-06-08 17:40:50",121,0.1
"2022-06-08 17:41:30",122,0.1
"2022-06-08 17:45:10",123,0.1
"2022-06-09 00:27:20",124,0.1
"2022-06-09 14:41:10",125,0.1
"2022-06-09 14:49:30",126,0.1
"2022-06-09 14:57:30",127,0.1
"2022-06-09 15:04:00",128,0.1
"2022-06-09 15:11:00",129,0.1
"2022-06-09 15:15:40",130,0.1
"2022-06-09 15:18:50",131,0.1
"2022-06-09 15:22:30",132,0.1
"2022-06-09 15:26:50",133,0.1
"2022-06-09 15:29:40",134,0.1
"2022-06-09 15:31:40",135,0.1
"2022-06-09 15:33:50",136,0.1
"2022-06-09 15:36:10",137,0.1
"2022-06-09 15:38:10",138,0.1
"2022-06-09 15:40:40",139,0.1
"2022-06-09 15:43:00",140,0.1
"2022-06-09 15:45:10",141,0.1
"2022-06-09 15:47:10",142,0.1
"2022-06-09 15:49:30",143,0.1
"2022-06-09 15:52:00",144,0.1
"2022-06-09 15:54:20",145,0.1
"2022-06-09 15:56:20",146,0.1
"2022-06-09 15:58:20",147,0.1
"2022-06-09 16:00:00",148,0.1
"2022-06-09 16:01:30",149,0.1
"2022-06-09 16:03:10",150,0.1
"2022-06-09 16:04:50",151,0.1
"2022-06-09 16:06:40",152,0.1
"2022-06-09 16:08:30",153,0.1
"2022-06-09 16:10:20",154,0.1
"2022-06-09 16:12:20",155,0.1
"2022-06-09 16:14:50",156,0.1
"2022-06-09 16:16:50",157,0.1
"2022-06-09 16:19:50",158,0.1
"2022-06-09 16:22:40",159,0.1
"2022-06-09 16:25:20",160,0.1
"2022-06-09 16:27:30",161,0.1
"2022-06-09 16:30:10",162,0.1
"2022-06-09 16:32:00",163,0.1
"2022-06-09 16:33:50",164,0.1
"2022-06-09 16:36:00",165,0.1
"2022-06-09 16:38:10",166,0.1
"2022-06-09 16:40:20",167,0.1
"2022-06-09 16:42:30",168,0.1
"2022-06-09 16:44:40",169,0.1
"2022-06-09 16:47:00",170,0.1
"2022-06-09 16:49:00",171,0.1
"2022-06-09 16:51:10",172,0.1
"2022-06-09 16:53:50",173,0.1
"2022-06-09 16:58:00",174,0.1
"2022-06-09 17:01:50",175,0.1
"2022-06-09 17:05:40",176,0.1
"2022-06-09 17:09:30",177,0.1
"2022-06-09 17:12:20",178,0.1
"2022-06-09 17:15:00",179,0.1
"2022-06-09 17:18:10",180,0.1
"2022-06-09 17:21:50",181,0.1
"2022-06-09 17:25:10",182,0.1
"2022-06-09 17:27:50",183,0.1
