"TOA5","Burn22","CR1000X","12230","CR1000X.Std.03.02","CPU:Burn22.CR1X","65289","RainEvent"
"TIMESTAMP","RECORD","Anonymous3","Rain_mm_Tot"
"TS","RN","","mm"
"","","Smp","Tot"
"2022-09-14 17:08:00",122,1,0.2
"2022-09-14 17:08:50",123,1,0.2
"2022-09-14 17:09:30",124,1,0.2
"2022-09-14 17:10:00",125,1,0.2
"2022-09-14 17:10:40",126,1,0.2
"2022-09-14 17:11:10",127,1,0.2
"2022-09-14 17:12:00",128,1,0.2
"2022-09-14 17:13:30",129,1,0.2
"2022-09-14 17:14:40",130,1,0.2
"2022-09-14 17:15:30",131,1,0.2
"2022-09-14 17:16:40",132,1,0.2
"2022-09-14 17:17:50",133,1,0.2
"2022-09-14 17:20:20",134,1,0.2
"2022-09-14 17:23:00",135,1,0.2
"2022-09-14 17:25:20",136,1,0.2
"2022-09-14 17:28:00",137,1,0.2
"2022-09-14 17:32:10",138,1,0.2
"2022-09-14 17:35:40",139,1,0.2
"2022-09-14 17:45:30",140,1,0.2
"2022-09-14 19:54:30",141,1,0.2
"2022-09-16 05:05:40",142,1,0.2
"2022-09-16 05:07:30",143,1,0.2
"2022-09-16 05:11:10",144,1,0.2
"2022-09-16 05:17:30",145,1,0.2
"2022-09-16 05:21:30",146,1,0.2
"2022-09-16 05:27:40",147,1,0.2
"2022-09-16 05:34:30",148,1,0.2
"2022-09-16 05:56:10",149,1,0.2
"2022-09-16 06:23:50",150,1,0.2
"2022-09-16 09:16:30",151,1,0.2
"2022-09-16 09:18:30",152,1,0.2
"2022-09-16 09:21:40",153,1,0.2
"2022-09-16 09:25:00",154,1,0.2
"2022-09-16 09:27:50",155,1,0.2
"2022-09-16 09:29:10",156,1,0.2
"2022-09-16 09:29:50",157,1,0.2
"2022-09-16 09:30:40",158,1,0.2
"2022-09-16 09:31:20",159,1,0.2
"2022-09-16 09:31:50",160,1,0.2
"2022-09-16 09:32:20",161,1,0.2
"2022-09-16 09:33:00",162,1,0.2
"2022-09-16 09:34:30",163,1,0.2
"2022-09-16 09:37:30",164,1,0.2
"2022-09-16 09:40:30",165,1,0.2
"2022-09-16 09:45:20",166,1,0.2
"2022-09-16 10:00:30",167,1,0.2
"2022-09-16 10:46:00",168,1,0.2
